% Model:              Roman - nanowires vs lenght LT.mph
% Version:            COMSOL 5.1.0.234
% Date:               Aug 1 2017, 15:42
% Table:              Accumulated Probe Table 5 - 
% rh                     t                        k1                       Temperature (K), Point: (-5, 5, 207.5)
60                       6.7E-6                   0.012                    4.332199540157078
60                       6.799999999999999E-6     0.012                    4.311149032467004
60                       6.9E-6                   0.012                    4.291432518173256
60                       7.000000000000001E-6     0.012                    4.2729653076082785
60                       7.1E-6                   0.012                    4.255668364475983
60                       7.2000000000000005E-6    0.012                    4.239467428892975
60                       7.2999999999999996E-6    0.012                    4.224293134029302
60                       7.4E-6                   0.012                    4.210080357105399
60                       7.499999999999999E-6     0.012                    4.1967682244451705
60                       7.6E-6                   0.012                    4.184299620747868
60                       7.7E-6                   0.012                    4.172621129960361
60                       7.8E-6                   0.012                    4.161682656150133
60                       7.9E-6                   0.012                    4.151437330101248
60                       8.0E-6                   0.012                    4.1418412102851265
60                       8.1E-6                   0.012                    4.132853173780801
60                       8.2E-6                   0.012                    4.124434675879805
60                       8.3E-6                   0.012                    4.116549636659757
60                       8.400000000000001E-6     0.012                    4.109164244423647
60                       8.5E-6                   0.012                    4.102246844605885
60                       8.6E-6                   0.012                    4.095767776700308
60                       8.7E-6                   0.012                    4.089699269228457
60                       8.8E-6                   0.012                    4.084015302798828
60                       8.9E-6                   0.012                    4.078691513016961
60                       9.0E-6                   0.012                    4.073705074349873
60                       9.100000000000001E-6     0.012                    4.069034611718668
60                       9.2E-6                   0.012                    4.064660101227037
60                       9.3E-6                   0.012                    4.0605627904901835
60                       9.4E-6                   0.012                    4.0567251132542745
60                       9.5E-6                   0.012                    4.053130618123103
60                       9.6E-6                   0.012                    4.0497638947699155
60                       9.7E-6                   0.012                    4.04661051050767
60                       9.800000000000001E-6     0.012                    4.043656946286157
60                       9.9E-6                   0.012                    4.040890540458311
60                       1.0E-5                   0.012                    4.038299433106977
60                       -1.0000000000000002E-6   0.013                    3.9999999999999996
60                       -9.000000000000002E-7    0.013                    4.000000000000001
60                       -8.000000000000002E-7    0.013                    4.000000000000001
60                       -7.000000000000001E-7    0.013                    3.9999999999999996
60                       -6.000000000000002E-7    0.013                    3.9999999999999996
60                       -5.000000000000001E-7    0.013                    3.9999999999999987
60                       -4.000000000000001E-7    0.013                    3.9999999999999996
60                       -3.000000000000001E-7    0.013                    3.9999999999999996
60                       -2.000000000000001E-7    0.013                    3.9999999999999996
60                       -1.000000000000001E-7    0.013                    3.9999999999999996
60                       0                        0.013                    3.9999999999999996
60                       9.999999999999989E-8     0.013                    5.667424228369137
60                       2.0E-7                   0.013                    7.194647264379547
60                       2.999999999999999E-7     0.013                    8.622244799997386
60                       4.0E-7                   0.013                    9.970817886198622
60                       4.999999999999999E-7     0.013                    11.247758240557216
60                       6.0E-7                   0.013                    12.444545623646286
60                       7.000000000000001E-7     0.013                    13.561777861200653
60                       8.0E-7                   0.013                    14.603736261701378
60                       9.000000000000001E-7     0.013                    15.575048613816882
60                       1.0000000000000002E-6    0.013                    16.481066774884813
60                       1.1E-6                   0.013                    16.228770921185102
60                       1.2E-6                   0.013                    15.548860330026192
60                       1.2999999999999998E-6    0.013                    14.862378833982396
60                       1.4000000000000001E-6    0.013                    14.149260465934326
60                       1.5E-6                   0.013                    13.482174591937271
60                       1.6E-6                   0.013                    12.857042678297681
60                       1.7000000000000002E-6    0.013                    12.274890085586536
60                       1.8000000000000001E-6    0.013                    11.731005116149392
60                       1.9E-6                   0.013                    11.221322356942444
60                       2.0E-6                   0.013                    10.74516672292255
60                       2.1000000000000002E-6    0.013                    10.291615804401744
60                       2.2E-6                   0.013                    9.865301152687962
60                       2.3E-6                   0.013                    9.466918266197085
60                       2.4000000000000003E-6    0.013                    9.095214743123446
60                       2.5E-6                   0.013                    8.748660658878794
60                       2.6E-6                   0.013                    8.425392443526611
60                       2.7E-6                   0.013                    8.124081121292527
60                       2.8000000000000003E-6    0.013                    7.84343582956789
60                       2.8999999999999998E-6    0.013                    7.581945522739972
60                       3.0000000000000005E-6    0.013                    7.338264208953188
60                       3.1000000000000004E-6    0.013                    7.111166396227586
60                       3.2000000000000003E-6    0.013                    6.899346889082248
60                       3.3E-6                   0.013                    6.701930278906502
60                       3.4E-6                   0.013                    6.51792941636018
60                       3.5E-6                   0.013                    6.346768615241052
60                       3.6E-6                   0.013                    6.187271579200738
60                       3.7000000000000006E-6    0.013                    6.038764527985283
60                       3.8000000000000005E-6    0.013                    5.900299046241085
60                       3.9E-6                   0.013                    5.771293950122078
60                       4.000000000000001E-6     0.013                    5.65099951688618
60                       4.1E-6                   0.013                    5.538904317378351
60                       4.2000000000000004E-6    0.013                    5.434388901645364
60                       4.2999999999999995E-6    0.013                    5.336992453822128
60                       4.4E-6                   0.013                    5.246190830924901
60                       4.500000000000001E-6     0.013                    5.1615704258676045
60                       4.6E-6                   0.013                    5.082684506271211
60                       4.700000000000001E-6     0.013                    5.009165475131476
60                       4.8E-6                   0.013                    4.94063124454172
60                       4.9000000000000005E-6    0.013                    4.87675740322955
60                       4.9999999999999996E-6    0.013                    4.817216057912478
60                       5.1E-6                   0.013                    4.7617221488203985
60                       5.200000000000001E-6     0.013                    4.709993442067791
60                       5.3E-6                   0.013                    4.661780187268453
60                       5.400000000000001E-6     0.013                    4.616838878793094
60                       5.5E-6                   0.013                    4.574951172054165
60                       5.600000000000001E-6     0.013                    4.535906606868442
60                       5.7E-6                   0.013                    4.499514602563979
60                       5.8E-6                   0.013                    4.465593022590585
60                       5.900000000000001E-6     0.013                    4.433975719034669
60                       6.0E-6                   0.013                    4.404504912973801
60                       6.100000000000001E-6     0.013                    4.377035885298951
60                       6.2E-6                   0.013                    4.3514318568266015
60                       6.300000000000001E-6     0.013                    4.3275668562293115
60                       6.4E-6                   0.013                    4.305322243724844
60                       6.5000000000000004E-6    0.013                    4.284588420504256
60                       6.600000000000001E-6     0.013                    4.265262438133731
60                       6.7E-6                   0.013                    4.2472489769402495
60                       6.799999999999999E-6     0.013                    4.2304586769592945
60                       6.9E-6                   0.013                    4.214808659648137
60                       7.000000000000001E-6     0.013                    4.200221342071137
60                       7.1E-6                   0.013                    4.186624677469708
60                       7.2000000000000005E-6    0.013                    4.173951296225708
60                       7.2999999999999996E-6    0.013                    4.162138577075082
60                       7.4E-6                   0.013                    4.151128011689478
60                       7.499999999999999E-6     0.013                    4.140865177277463
60                       7.6E-6                   0.013                    4.1312992563874
60                       7.7E-6                   0.013                    4.12238295527072
60                       7.8E-6                   0.013                    4.114072133238728
60                       7.9E-6                   0.013                    4.1063256942701525
60                       8.0E-6                   0.013                    4.099105295154465
60                       8.1E-6                   0.013                    4.092375227047903
60                       8.2E-6                   0.013                    4.086102181447584
60                       8.3E-6                   0.013                    4.08025513156302
60                       8.400000000000001E-6     0.013                    4.07480514165205
60                       8.5E-6                   0.013                    4.069725253769031
